"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JABNP87G","journalArticle","2026","Wu, Shuo; Radin Firdaus, R. B.; Wang, Yinghui; Kamsi, Nor Samsinar","Mapping Higher Education Research in Malaysia and Singapore (2014–2024): A Bibliometric Analysis Through the Research–Policy–Practice Lens","Sage Open","","2158-2440","10.1177/21582440261423292","https://doi.org/10.1177/21582440261423292","Higher education plays a pivotal role in driving social and economic development in Southeast Asia; however, systematic evidence on regional research patterns remains limited. This study conducts a bibliometric analysis of higher education research in Malaysia and Singapore from 2014 to 2024, focussing on three policy-relevant themes: digital learning, internationalisation, and graduate employability. Drawing on 8,339 Scopus-indexed publications and using bibliometric mapping with VOSviewer, the study examines keyword co-occurrence networks, thematic clusters, and citation impact, with the findings interpreted through the Research–Policy–Practice (RPP) nexus as an interpretive framework to qualitatively contextualise quantitative patterns. Results show that Malaysia produces more publications (6,195) but has lower average citations (11.18), while Singapore’s smaller output (2,144) achieves a higher impact (22.07 citations per paper). In digital learning, Malaysia emphasises blended learning and inclusive access under the Education Blueprint, whereas Singapore advances AI-driven and immersive technologies as part of its Smart Nation initiative. Internationalisation research highlights Malaysia’s role as an affordable regional hub and Singapore’s elite, quality-driven positioning; yet both systems exhibit weak cross-border collaboration despite ASEAN integration goals. Employability studies show Malaysia prioritising soft skills, digital literacy, and mental health support, while Singapore foregrounds lifelong learning and micro-credentials under SkillsFuture. By applying the RPP lens, the study explains how national priorities shape scholarly trajectories and inform institutional practice. It calls for stronger Malaysia–Singapore collaboration, harmonised digital standards, and employability strategies that integrate mental health, social equity, and technological upskilling to build more resilient and inclusive higher education systems in Southeast Asia.","2026-01-01","2026-05-30 09:28:53","2026-05-30 09:28:56","2026-05-30 09:28:53","21582440261423292","","1","16","","","Mapping Higher Education Research in Malaysia and Singapore (2014–2024)","","","","","SAGE Publications","","EN","","","","","SAGE Journals","","","","C:\Users\gauth\Zotero\storage\RD37ZJZW\Wu et al. - 2026 - Mapping Higher Education Research in Malaysia and Singapore (2014–2024) A Bibliometric Analysis Thr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GMU8CF7T","journalArticle","2017","Dang, Que Anh","Regionalising higher education for repositioning Southeast Asia","Oxford Review of Education","","0305-4985, 1465-3915","10.1080/03054985.2017.1327427","https://www.tandfonline.com/doi/full/10.1080/03054985.2017.1327427","The Association of Southeast Asian Nations (ASEAN) has led the way in constructing the East Asian region with China, Japan, and South Korea, and an inter-regional entity with the European Union (EU)—known as the Asia–Europe Meeting (ASEM). The initial aims were security and trade. Recently, however, higher education has been brought into these regionalising processes, largely as a response to the globalising of neoliberalism. The paper argues that regions are social, economic, and political constructions shaped by both material forces and cultural factors. It emphasises the importance of the latter and explains three mechanisms at work: harmonisation to build intra-ASEAN higher education cooperation; socialisation to create the ASEAN+3 region; and mutual learning to engage with the EU in shaping an‘ASEM Education Area’. These mechanisms influence the ways in which regional actors form new conceptions of self and other, negotiate norms, and (re)construct their identities and interests, thus creating new forms of cooperation and community. Particularly, mutual learning generates the outcome of a deeper negotiation for an equal partnership between the ‘Asia’ and the ‘Europe’ in ASEM. Hence, higher education regionalism emerges as a way to reposition Southeast Asia.","2017-07-04","2026-05-30 09:40:53","2026-05-30 09:40:54","2026-05-30 09:40:53","417-432","","4","43","","Oxford Review of Education","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\gauth\Zotero\storage\GBFVG4MP\Dang - 2017 - Regionalising higher education for repositioning Southeast Asia.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JPNKHTVH","journalArticle","","Ismail, Razali","Diversity, inclusivity and governance in the social landscape of Southeast Asia","","","","","","","","2026-05-30 09:40:56","2026-05-30 09:40:56","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\gauth\Zotero\storage\I3A3I74E\Ismail - Diversity, inclusivity and governance in the social landscape of Southeast Asia.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RYF4L9JN","journalArticle","","Sisingamangaraja, Jl","SHARE Project Management Office","","","","","","","","2026-05-30 09:42:02","2026-05-30 09:42:02","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\gauth\Zotero\storage\JB3E8YLQ\Sisingamangaraja - SHARE Project Management Office.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
